sample_index,timestamp_sec,timestamp_hms,frame_index,grid_sat_median_3x3,grid_brightness_median_3x3,"overall_sat_median
전체영상에 대한","overall_sat_mean
전체영상에 대한","overall_brightness_median
전체영상에 대한","overall_brightness_mean
전체영상에 대한"
25,25,00:25.0,200,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","159.0 | 127.0 | 254.0
112.0 | 103.0 | 124.0
127.0 | 91.0 | 94.0",0,0,115,142.174
26,26,00:26.0,208,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","135.0 | 108.0 | 255.0
93.0 | 84.0 | 105.0
106.0 | 72.0 | 75.0",0,0,96,125.789
27,27,00:27.0,216,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","138.0 | 104.0 | 255.0
90.0 | 80.0 | 103.0
104.0 | 69.0 | 72.0",0,0,93,123.9
28,28,00:28.0,224,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","138.0 | 103.0 | 255.0
87.0 | 77.0 | 101.0
102.0 | 66.0 | 69.0",0,0,91,122.358
29,29,00:29.0,232,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","136.0 | 102.0 | 255.0
85.0 | 74.0 | 100.0
101.0 | 63.0 | 67.0",0,0,89,120.961
30,30,00:30.0,240,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","135.0 | 102.0 | 255.0
85.0 | 73.0 | 99.0
101.0 | 62.0 | 65.0",0,0,88,119.855
31,31,00:31.0,248,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","133.0 | 101.0 | 255.0
84.0 | 71.0 | 98.0
100.0 | 61.0 | 64.0",0,0,87,118.718
32,32,00:32.0,256,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","133.0 | 100.0 | 255.0
83.0 | 70.0 | 97.0
99.0 | 60.0 | 63.0",0,0,86,118.052
33,33,00:33.0,264,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","134.0 | 99.0 | 255.0
82.0 | 70.0 | 96.0
99.0 | 59.0 | 63.0",0,0,86,117.578
34,34,00:34.0,272,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","132.0 | 99.0 | 255.0
82.0 | 69.0 | 96.0
98.0 | 59.0 | 62.0",0,0,85,117.191
35,35,00:35.0,280,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","133.0 | 98.0 | 255.0
81.0 | 69.0 | 96.0
98.0 | 59.0 | 62.0",0,0,85,117.056
36,36,00:36.0,288,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","133.0 | 98.0 | 255.0
81.0 | 69.0 | 96.0
98.0 | 59.0 | 62.0",0,0,85,117.123
37,37,00:37.0,296,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","133.0 | 97.0 | 255.0
81.0 | 69.0 | 96.0
98.0 | 58.0 | 62.0",0,0,85,117.032
38,38,00:38.0,304,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","133.0 | 97.0 | 255.0
81.0 | 69.0 | 95.0
98.0 | 59.0 | 62.0",0,0,85,116.796
39,39,00:39.0,312,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","134.0 | 98.0 | 255.0
82.0 | 70.0 | 96.0
98.0 | 59.0 | 62.0",0,0,85,117.617
40,40,00:40.0,320,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","134.0 | 98.0 | 255.0
81.0 | 69.0 | 96.0
98.0 | 58.0 | 62.0",0,0,85,117.423
41,41,00:41.0,328,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","133.0 | 98.0 | 255.0
81.0 | 69.0 | 96.0
98.0 | 58.0 | 62.0",0,0,85,117.039
42,42,00:42.0,336,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","132.0 | 98.0 | 255.0
81.0 | 69.0 | 95.0
97.0 | 58.0 | 62.0",0,0,85,116.71
43,43,00:43.0,344,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","132.0 | 99.0 | 255.0
81.0 | 69.0 | 95.0
98.0 | 58.0 | 62.0",0,0,85,116.974
44,44,00:44.0,352,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","132.0 | 99.0 | 255.0
81.0 | 69.0 | 95.0
98.0 | 58.0 | 62.0",0,0,85,116.994
45,45,00:45.0,360,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","132.0 | 98.0 | 255.0
81.0 | 69.0 | 95.0
98.0 | 58.0 | 62.0",0,0,85,116.712
46,46,00:46.0,368,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","132.0 | 99.0 | 255.0
81.0 | 69.0 | 94.0
98.0 | 58.0 | 62.0",0,0,85,116.768
47,47,00:47.0,376,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","133.0 | 99.0 | 255.0
81.0 | 69.0 | 95.0
98.0 | 58.0 | 62.0",0,0,85,116.978
48,48,00:48.0,384,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","133.0 | 99.0 | 255.0
81.0 | 69.0 | 95.0
98.0 | 58.0 | 62.0",0,0,85,117.131
49,49,00:49.0,392,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","132.0 | 99.0 | 255.0
81.0 | 69.0 | 95.0
98.0 | 58.0 | 62.0",0,0,85,116.964
50,50,00:50.0,400,"0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0
0.0 | 0.0 | 0.0","131.0 | 99.0 | 255.0
81.0 | 68.0 | 95.0
98.0 | 58.0 | 62.0",0,0,85,116.628
